isic_id,source_collection,label,p6_peak_y,p6_peak_x,p6_in_lesion,p10_peak_y,p10_peak_x,p10_in_lesion,moved_into_lesion,moved_out_of_lesion
ISIC_0030411,212,0,209,225,1,176,248,1,0,0
ISIC_0032753,212,0,79,275,0,196,207,1,1,0
ISIC_0035488,212,0,284,187,1,244,224,1,0,0
ISIC_0029733,212,0,216,118,0,211,189,1,1,0
ISIC_0026785,212,0,255,172,0,130,242,1,1,0
ISIC_0029355,212,0,200,191,0,281,147,0,0,0
ISIC_0027918,212,0,184,168,1,194,154,1,0,0
ISIC_0030338,212,0,132,287,1,154,230,1,0,0
ISIC_0032040,212,0,202,348,0,225,322,0,0,0
ISIC_0031483,212,0,196,155,1,191,183,1,0,0
ISIC_0027226,212,0,204,207,1,202,236,1,0,0
ISIC_0026969,212,0,182,257,1,212,103,0,0,1
ISIC_0030249,212,1,100,87,0,154,135,1,1,0
ISIC_0028994,212,1,233,220,1,201,218,1,0,0
ISIC_0031041,212,1,281,177,0,63,154,0,0,0
ISIC_0035767,212,1,192,179,1,223,178,1,0,0
ISIC_0035376,212,1,164,78,0,252,156,1,1,0
ISIC_0028542,212,1,182,215,0,193,224,0,0,0
ISIC_0033366,212,1,116,292,0,213,171,0,0,0
ISIC_0024595,212,1,332,171,0,209,128,0,0,0
ISIC_0032441,212,1,181,223,0,213,200,0,0,0
ISIC_0034605,212,1,324,235,0,160,242,1,1,0
ISIC_0034888,212,1,246,122,0,269,135,0,0,0
ISIC_0035663,212,1,148,217,1,178,59,0,0,1
ISIC_0025301,212,1,186,171,1,219,184,1,0,0
ISIC_0032313,212,1,194,222,1,189,192,1,0,0
ISIC_0032841,212,1,262,208,1,253,208,1,0,0
ISIC_0034906,212,1,254,152,1,187,194,1,0,0
ISIC_0035756,212,1,236,319,1,138,130,1,0,0
ISIC_0035708,212,1,204,171,0,178,138,0,0,0
ISIC_0033619,212,1,144,204,1,202,212,1,0,0
ISIC_0026522,212,1,250,343,0,267,272,0,0,0
ISIC_0027359,212,1,265,182,1,218,201,1,0,0
ISIC_0027229,212,1,204,168,1,190,201,1,0,0
ISIC_0024799,212,1,199,236,1,189,230,1,0,0
ISIC_0028763,212,1,128,60,0,186,126,0,0,0
ISIC_0031266,212,1,193,180,1,241,131,1,0,0
ISIC_0029602,212,1,210,211,1,173,134,1,0,0
ISIC_0031489,212,1,64,258,0,323,210,0,0,0
ISIC_0025069,212,1,184,204,1,166,191,1,0,0
ISIC_0029860,212,1,171,236,1,192,221,1,0,0
ISIC_0028232,212,1,131,266,1,234,227,1,0,0
ISIC_0029669,212,1,290,171,0,230,104,0,0,0
ISIC_0030191,212,1,179,161,1,157,184,1,0,0
ISIC_0031063,212,1,210,108,1,312,222,0,0,1
ISIC_0024967,212,1,184,261,1,206,187,1,0,0
ISIC_0028685,212,1,106,279,0,268,200,0,0,0
ISIC_0031087,212,1,206,159,0,126,228,0,0,0
ISIC_0035853,212,1,182,173,1,206,206,0,0,1
ISIC_0032816,212,1,246,202,1,173,57,0,0,1
ISIC_0025265,212,1,200,197,0,173,86,0,0,0
ISIC_0027846,212,1,220,198,0,170,157,1,1,0
ISIC_0033023,212,1,221,218,1,206,180,1,0,0
ISIC_0030929,212,1,192,175,0,224,156,0,0,0
ISIC_0035130,212,1,176,236,1,192,220,1,0,0
ISIC_0035446,212,1,99,277,0,209,162,1,1,0
ISIC_0030486,212,1,176,71,0,80,188,0,0,0
ISIC_0027328,212,1,81,91,0,115,200,1,1,0
ISIC_0027004,212,1,227,158,1,179,198,1,0,0
ISIC_0026687,212,1,92,141,0,80,138,0,0,0
ISIC_0035089,212,1,179,158,0,141,115,0,0,0
ISIC_0034416,212,1,252,121,1,204,265,1,0,0
ISIC_2691267,70,0,188,225,0,274,121,0,0,0
ISIC_7150493,70,0,86,208,0,254,178,0,0,0
ISIC_1620808,70,0,178,175,0,292,219,0,0,0
ISIC_7056760,70,0,172,188,0,168,206,0,0,0
ISIC_7435292,70,0,89,193,0,299,27,1,1,0
ISIC_2329722,70,0,221,149,0,193,330,0,0,0
ISIC_0610141,70,0,122,228,0,275,131,0,0,0
ISIC_4848012,70,0,231,155,1,123,177,0,0,1
ISIC_3969181,70,0,251,147,0,122,162,0,0,0
ISIC_2891834,70,0,180,301,0,290,150,0,0,0
ISIC_7069003,70,0,246,260,0,60,163,0,0,0
ISIC_3700351,70,0,266,319,0,200,207,0,0,0
ISIC_4718313,70,0,255,214,0,195,38,0,0,0
ISIC_3039519,70,0,130,119,0,160,88,0,0,0
ISIC_2041726,70,0,196,116,0,199,177,0,0,0
ISIC_5380914,70,0,178,121,1,183,145,1,0,0
ISIC_6427761,70,0,333,117,1,317,111,1,0,0
ISIC_0413901,70,0,152,102,0,130,114,0,0,0
ISIC_6155981,70,0,284,170,0,231,198,0,0,0
ISIC_1655600,70,0,188,124,0,209,134,0,0,0
ISIC_7936961,70,0,215,252,0,315,30,1,1,0
ISIC_9110426,70,0,136,279,0,135,256,0,0,0
ISIC_6773319,70,0,265,196,0,256,189,0,0,0
ISIC_9483439,70,0,123,148,0,134,220,1,1,0
ISIC_7235862,70,0,191,191,1,188,122,0,0,1
ISIC_9905633,70,0,181,199,0,191,200,0,0,0
ISIC_1307651,70,0,169,225,0,181,223,0,0,0
ISIC_3362526,70,0,238,110,0,199,162,1,1,0
ISIC_1382198,70,0,138,326,0,82,177,0,0,0
ISIC_3756374,70,0,199,207,0,158,209,0,0,0
ISIC_4962984,70,0,182,190,1,157,205,1,0,0
ISIC_6385074,70,0,138,146,0,176,215,0,0,0
ISIC_0247964,70,0,181,208,0,260,306,0,0,0
ISIC_8302945,70,0,189,229,1,220,180,1,0,0
ISIC_2426893,70,0,194,277,0,84,236,1,1,0
ISIC_3432947,70,0,160,147,0,133,200,0,0,0
ISIC_7148289,70,0,197,135,1,158,190,1,0,0
ISIC_2784965,70,0,115,106,0,183,124,0,0,0
ISIC_6108555,70,0,214,179,0,156,301,0,0,0
ISIC_8653749,70,0,187,178,1,267,222,1,0,0
ISIC_1313659,70,0,297,37,0,266,99,1,1,0
ISIC_5290109,70,0,213,240,1,213,142,1,0,0
ISIC_7641395,70,0,253,238,0,34,162,0,0,0
ISIC_1688271,70,0,229,287,0,184,212,0,0,0
ISIC_0679553,70,0,202,266,0,219,243,0,0,0
ISIC_0855990,70,0,215,177,0,220,194,0,0,0
ISIC_8715507,70,0,155,154,0,178,147,0,0,0
ISIC_2371033,70,0,337,123,0,305,141,1,1,0
ISIC_8068693,70,1,162,175,1,267,190,1,0,0
ISIC_7074321,70,1,114,252,1,110,223,1,0,0
ISIC_8789051,70,1,187,220,0,149,174,0,0,0
ISIC_7520843,70,1,226,175,1,203,194,1,0,0
ISIC_7371801,70,1,91,141,1,224,164,1,0,0
ISIC_8011058,70,1,87,82,0,80,236,0,0,0
ISIC_5191344,70,1,108,136,1,143,150,1,0,0
ISIC_3775417,70,1,240,223,1,164,105,0,0,1
ISIC_9910791,70,1,198,244,0,238,185,0,0,0
ISIC_4425322,70,1,256,168,0,198,99,0,0,0
ISIC_4000481,70,1,221,188,1,247,186,1,0,0
ISIC_7372719,70,1,280,94,0,352,241,0,0,0
ISIC_6927840,70,1,202,223,1,114,151,0,0,1
ISIC_1870415,70,1,165,165,0,180,173,0,0,0
ISIC_0624498,70,1,309,235,0,328,264,0,0,0
ISIC_6971606,70,1,127,183,1,140,188,1,0,0
ISIC_2720971,70,1,215,236,1,200,193,1,0,0
ISIC_3025889,70,1,187,185,1,168,132,0,0,1
ISIC_8621568,70,1,251,119,1,272,141,1,0,0
ISIC_5673518,70,1,226,245,0,185,173,0,0,0
ISIC_7914631,70,1,187,258,1,222,218,1,0,0
ISIC_7295035,70,1,184,164,1,268,193,1,0,0
ISIC_5797062,70,1,124,147,0,144,175,0,0,0
ISIC_2182856,70,1,235,207,1,210,144,1,0,0
ISIC_2311665,70,1,355,136,0,176,198,1,1,0
ISIC_0275828,70,1,289,265,0,172,202,0,0,0
ISIC_9685931,70,1,97,290,0,56,279,0,0,0
ISIC_7466678,70,1,147,316,0,136,226,1,1,0
ISIC_0952472,70,1,253,240,1,239,232,1,0,0
ISIC_1330008,70,1,130,216,1,145,206,1,0,0
ISIC_6713432,70,1,210,185,1,194,176,1,0,0
ISIC_8450656,70,1,183,197,1,303,151,1,0,0
ISIC_9754098,70,1,215,209,1,238,193,1,0,0
ISIC_6392461,70,1,223,76,1,187,101,1,0,0
ISIC_0273046,70,1,193,202,1,142,230,0,0,1
ISIC_9053910,70,1,203,167,0,199,163,0,0,0
ISIC_6688417,70,1,183,157,0,151,75,0,0,0
ISIC_7546219,70,1,341,154,1,217,86,0,0,1
ISIC_4938994,70,1,223,258,1,232,235,1,0,0
ISIC_5576354,70,1,251,176,1,266,185,1,0,0
ISIC_3097354,70,1,247,324,0,173,351,0,0,0
ISIC_2979268,70,1,183,228,0,166,212,0,0,0
ISIC_6784593,70,1,176,225,1,223,216,1,0,0
ISIC_1375476,70,1,191,192,1,305,153,1,0,0
ISIC_4377208,70,1,164,204,1,146,214,1,0,0
ISIC_1729223,70,1,222,210,0,237,205,0,0,0
ISIC_0062783,249,0,164,83,0,245,173,0,0,0
ISIC_0057443,249,0,280,225,1,237,220,1,0,0
ISIC_0064896,249,0,227,177,1,136,81,1,0,0
ISIC_0064012,249,0,266,216,1,320,186,1,0,0
ISIC_0056869,249,0,177,199,0,191,171,0,0,0
ISIC_0063186,249,0,235,193,1,252,278,0,0,1
ISIC_0070884,249,0,168,206,0,114,324,0,0,0
ISIC_0063841,249,0,112,204,0,232,158,1,1,0
ISIC_0067760,249,0,234,184,0,114,181,0,0,0
ISIC_0059710,249,0,239,240,0,195,306,0,0,0
ISIC_0056135,249,0,174,301,0,243,200,0,0,0
ISIC_0064708,249,0,153,237,0,166,236,1,1,0
ISIC_0053466,249,0,66,255,0,150,211,1,1,0
ISIC_0061537,249,0,210,254,0,73,182,0,0,0
ISIC_0070202,249,0,261,136,0,276,101,0,0,0
ISIC_0060584,249,0,189,168,0,173,109,1,1,0
ISIC_0066235,249,0,146,279,0,83,331,0,0,0
ISIC_0072949,249,0,266,215,0,127,176,0,0,0
ISIC_0062044,249,0,228,150,1,159,301,0,0,1
ISIC_0058141,249,0,150,156,1,182,195,1,0,0
ISIC_0072960,249,0,224,230,1,194,206,1,0,0
ISIC_0061924,249,0,183,43,0,77,123,0,0,0
ISIC_0070208,249,0,156,189,0,110,123,0,0,0
ISIC_0054812,249,0,236,94,0,161,102,0,0,0
ISIC_0055283,249,0,169,199,0,113,142,0,0,0
ISIC_0058233,249,0,224,174,0,245,207,0,0,0
ISIC_0072170,249,0,301,181,1,172,130,0,0,1
ISIC_0065383,249,0,194,227,1,179,221,1,0,0
ISIC_0073006,249,0,126,277,1,101,265,1,0,0
ISIC_0071356,249,0,197,193,0,87,259,0,0,0
ISIC_0073031,249,0,200,192,1,199,202,1,0,0
ISIC_0068344,249,0,174,203,1,171,181,1,0,0
ISIC_0071171,249,0,179,168,1,210,213,1,0,0
ISIC_0067408,249,0,177,127,0,180,120,0,0,0
ISIC_0058846,249,0,170,200,0,139,257,0,0,0
ISIC_0073150,249,0,197,260,1,132,233,1,0,0
ISIC_0071919,249,0,157,282,0,81,204,0,0,0
ISIC_0069019,249,0,217,226,0,183,110,0,0,0
ISIC_0073080,249,0,198,223,1,200,201,1,0,0
ISIC_0060632,249,0,255,225,1,302,182,1,0,0
ISIC_0066383,249,0,143,220,0,226,110,0,0,0
ISIC_0065274,249,0,117,212,0,143,210,0,0,0
ISIC_0053998,249,0,131,171,1,70,129,1,0,0
ISIC_0053647,249,0,167,155,1,122,329,0,0,1
ISIC_0056571,249,1,245,105,0,182,101,0,0,0
ISIC_0068909,249,1,237,188,1,249,180,1,0,0
ISIC_0057242,249,1,171,155,1,60,211,0,0,1
ISIC_0061185,249,1,319,196,1,192,230,1,0,0
ISIC_0068276,249,1,21,156,0,118,83,0,0,0
ISIC_0072111,249,1,287,157,1,289,147,1,0,0
ISIC_0065648,249,1,212,174,0,223,175,0,0,0
ISIC_0054244,249,1,259,189,1,241,193,1,0,0
ISIC_0071589,249,1,120,333,1,111,184,1,0,0
ISIC_0068347,249,1,228,214,1,252,154,1,0,0
ISIC_0058651,249,1,223,155,1,244,142,1,0,0
ISIC_0063354,249,1,362,230,1,349,114,1,0,0
ISIC_0058398,249,1,198,180,1,180,175,1,0,0
ISIC_0054721,249,1,181,201,1,191,225,1,0,0
ISIC_0054993,249,1,195,214,0,198,227,0,0,0
ISIC_0059581,249,1,155,240,0,138,235,0,0,0
ISIC_0057542,249,1,211,187,1,133,242,1,0,0
ISIC_0070237,249,1,276,324,1,260,298,1,0,0
ISIC_0065923,249,1,231,164,0,155,125,0,0,0
ISIC_0053939,249,1,161,138,0,172,109,0,0,0
ISIC_0064625,249,1,165,195,1,157,169,1,0,0
ISIC_0068731,249,1,229,61,1,178,70,1,0,0
ISIC_0063660,249,1,242,256,1,198,266,1,0,0
ISIC_0073246,249,1,226,282,0,195,186,0,0,0
ISIC_0068231,249,1,153,190,0,159,183,0,0,0
ISIC_0071147,249,1,237,156,1,136,196,1,0,0
ISIC_0068963,249,1,186,185,1,29,248,0,0,1
ISIC_0055465,249,1,234,265,0,227,261,0,0,0
ISIC_0066940,249,1,79,189,0,120,210,0,0,0
ISIC_0054353,249,1,220,85,0,232,330,0,0,0
ISIC_0059160,249,1,242,220,1,239,180,1,0,0
ISIC_0071035,249,1,305,208,1,290,201,1,0,0
ISIC_0062762,249,1,245,170,1,187,199,1,0,0
ISIC_0072104,249,1,250,67,0,266,126,0,0,0
ISIC_0054563,249,1,213,176,1,256,169,1,0,0
ISIC_0059724,249,1,280,279,0,175,194,0,0,0
ISIC_0056972,249,1,167,182,0,186,168,0,0,0
ISIC_0072292,249,1,274,117,0,240,230,0,0,0
ISIC_0063819,249,1,159,219,1,96,248,1,0,0
ISIC_0072382,249,1,33,251,0,219,132,1,1,0
ISIC_0066761,249,1,208,193,0,148,250,0,0,0
