isic_id,source_collection,label,peak_y,peak_x,iou_lesion,iou_vignette,iou_ruler,iou_hair,category
ISIC_0027229,212,1,204,168,1.0,0.0,0.0,0.1713,on_lesion
ISIC_0024799,212,1,199,236,1.0,0.0,0.0,0.0,on_lesion
ISIC_0028763,212,1,128,60,0.0,0.0,0.0,0.0547,on_skin
ISIC_0031266,212,1,193,180,0.9863,0.0,0.0,0.21,on_lesion
ISIC_0029602,212,1,210,211,1.0,0.0,0.0,0.0,on_lesion
ISIC_0031489,212,1,64,258,0.0,0.0,0.0,0.003,on_skin
ISIC_0025069,212,1,184,204,1.0,0.0,0.0,0.4509,on_lesion
ISIC_0029860,212,1,171,236,0.9536,0.0,0.0,0.2808,on_lesion
ISIC_0028232,212,1,131,266,0.9964,0.0,0.0,0.3189,on_lesion
ISIC_0029669,212,1,290,171,0.0077,0.0,0.0,0.0,on_skin
ISIC_0030191,212,1,179,161,1.0,0.0,0.0,0.1921,on_lesion
ISIC_0031063,212,1,210,108,0.6425,0.0,0.0,0.1594,on_lesion
ISIC_0024967,212,1,184,261,1.0,0.0,0.0,0.3742,on_lesion
ISIC_0028685,212,1,106,279,0.0,0.0,0.0,0.0268,on_skin
ISIC_0031087,212,1,206,159,0.0,0.0,0.0,0.182,on_skin
ISIC_0035853,212,1,182,173,0.9435,0.0,0.0,0.1987,on_lesion
ISIC_0032816,212,1,246,202,1.0,0.0,0.0,0.0761,on_lesion
ISIC_0025265,212,1,200,197,0.0,0.0,0.0,0.2552,on_skin
ISIC_0027846,212,1,220,198,0.6889,0.0,0.0,0.0184,on_lesion
ISIC_0033023,212,1,221,218,1.0,0.0,0.0,0.1701,on_lesion
ISIC_0030929,212,1,192,175,0.0,0.0,0.0,0.3926,on_hair
ISIC_0035130,212,1,176,236,1.0,0.0,0.0,0.6692,on_lesion
ISIC_0035446,212,1,99,277,0.0,0.0,0.0,0.0637,on_skin
ISIC_0030486,212,1,176,71,0.0,0.0,0.0,0.3754,on_hair
ISIC_0027328,212,1,81,91,0.1255,0.0,0.0,0.1089,on_skin
ISIC_0027004,212,1,227,158,0.9875,0.0,0.0,0.229,on_lesion
ISIC_0026687,212,1,92,141,0.0,0.0,0.0,0.1148,on_skin
ISIC_0035089,212,1,179,158,0.0,0.0,0.0,0.0,on_skin
ISIC_0034416,212,1,252,121,1.0,0.0,0.0,0.3308,on_lesion
ISIC_2691267,70,0,188,225,0.0,0.0,0.0,0.0,on_skin
ISIC_7150493,70,0,86,208,0.0,0.0,0.0,0.0131,on_skin
ISIC_1620808,70,0,178,175,0.0,0.0,0.0,0.0,on_skin
ISIC_7056760,70,0,172,188,0.0,0.0,0.0,0.0,on_skin
ISIC_7435292,70,0,89,193,0.0,0.0,0.0,0.1499,on_skin
ISIC_2329722,70,0,221,149,0.0,0.0,0.0,0.135,on_skin
ISIC_0610141,70,0,122,228,0.0,0.0,0.0,0.0488,on_skin
ISIC_4848012,70,0,231,155,0.5372,0.0,0.207,0.0,on_lesion
ISIC_3969181,70,0,251,147,0.0,0.0,0.0,0.0,on_skin
ISIC_2891834,70,0,180,301,0.0,0.0,0.0,0.2516,on_skin
ISIC_7069003,70,0,246,260,0.1255,0.0,0.0,0.2415,on_skin
ISIC_3700351,70,0,266,319,0.0,0.0,0.0,0.0708,on_skin
ISIC_4718313,70,0,255,214,0.0,0.0,0.0,0.0,on_skin
ISIC_3039519,70,0,130,119,0.0,0.0,0.0,0.0,on_skin
ISIC_2041726,70,0,196,116,0.0,0.0,0.0,0.0,on_skin
ISIC_5380914,70,0,178,121,0.9661,0.0,0.0,0.2148,on_lesion
ISIC_6427761,70,0,333,117,1.0,0.0,0.0,0.4366,on_lesion
ISIC_4265307,70,0,159,262,1.0,0.0,0.0,0.4384,on_lesion
ISIC_0413901,70,0,152,102,0.0,0.0,0.0,0.0827,on_skin
ISIC_6155981,70,0,284,170,0.0,0.0,0.0,0.0648,on_skin
ISIC_1655600,70,0,188,124,0.0,0.0,0.0,0.0,on_skin
ISIC_7936961,70,0,215,252,0.0,0.0,0.0,0.0,on_skin
ISIC_9110426,70,0,136,279,0.0,0.0,0.0,0.0036,on_skin
ISIC_6773319,70,0,265,196,0.0,0.0,0.0,0.1303,on_skin
ISIC_9483439,70,0,123,148,0.2933,0.0,0.0,0.0,on_skin
ISIC_7235862,70,0,191,191,0.8685,0.0,0.0,0.2629,on_lesion
ISIC_9905633,70,0,181,199,0.0,0.0,0.0,0.0,on_skin
ISIC_1307651,70,0,169,225,0.0,0.0,0.0,0.2385,on_skin
ISIC_3362526,70,0,238,110,0.2879,0.0,0.0,0.0761,on_skin
ISIC_1382198,70,0,138,326,0.0,0.0,0.0,0.0,on_skin
ISIC_3756374,70,0,199,207,0.0,0.0,0.0,0.0,on_skin
ISIC_4962984,70,0,182,190,1.0,0.0,0.0,0.3486,on_lesion
ISIC_5681315,70,0,226,215,0.0,0.0,0.0,0.0,on_skin
ISIC_6385074,70,0,138,146,0.0,0.0,0.0,0.0857,on_skin
ISIC_0247964,70,0,181,208,0.0,0.0,0.0,0.3153,on_hair
ISIC_8302945,70,0,189,229,0.8894,0.0,0.0,0.0,on_lesion
ISIC_2426893,70,0,194,277,0.4069,0.0,0.0,0.0934,on_skin
ISIC_3432947,70,0,160,147,0.0,0.0,0.0,0.0422,on_skin
ISIC_7148289,70,0,197,135,0.9762,0.0,0.2195,0.191,on_lesion
ISIC_2784965,70,0,115,106,0.0,0.0,0.0,0.0,on_skin
ISIC_6108555,70,0,214,179,0.0,0.0,0.0,0.7293,on_hair
ISIC_8653749,70,0,187,178,1.0,0.0,0.0,0.1202,on_lesion
ISIC_1313659,70,0,297,37,0.2487,0.0,0.0,0.0,on_skin
ISIC_5290109,70,0,213,240,1.0,0.0,0.0,0.0,on_lesion
ISIC_7641395,70,0,253,238,0.0,0.0,0.0,0.2433,on_skin
ISIC_1688271,70,0,229,287,0.0,0.0,0.0,0.1267,on_skin
ISIC_0679553,70,0,202,266,0.0,0.0,0.0,0.0821,on_skin
ISIC_0855990,70,0,215,177,0.0,0.0,0.0,0.2165,on_skin
ISIC_8715507,70,0,155,154,0.0,0.0,0.0,0.003,on_skin
ISIC_2371033,70,0,337,123,0.3766,0.0,0.0,0.1428,on_skin
ISIC_8068693,70,1,162,175,1.0,0.0,0.0,0.0024,on_lesion
ISIC_7074321,70,1,114,252,1.0,0.0,0.0,0.0648,on_lesion
ISIC_8789051,70,1,187,220,0.0,0.0,0.0,0.0,on_skin
ISIC_7520843,70,1,226,175,0.8691,0.0,0.0,0.3867,on_lesion
ISIC_7371801,70,1,91,141,1.0,0.0,0.0,0.0,on_lesion
ISIC_8011058,70,1,87,82,0.0,0.0,0.0,0.2237,on_skin
ISIC_5191344,70,1,108,136,0.8412,0.0,0.0,0.1059,on_lesion
ISIC_3775417,70,1,240,223,1.0,0.0,0.0,0.1951,on_lesion
ISIC_5561003,70,1,249,211,1.0,0.0,0.0,0.0851,on_lesion
ISIC_9910791,70,1,198,244,0.0,0.0,0.0,0.1565,on_skin
ISIC_4425322,70,1,256,168,0.0,0.0,0.0,0.0428,on_skin
ISIC_4000481,70,1,221,188,0.9893,0.0,0.0,0.3468,on_lesion
ISIC_7372719,70,1,280,94,0.3189,0.0,0.0,0.1904,on_skin
ISIC_6927840,70,1,202,223,0.9774,0.0,0.0,0.3177,on_lesion
ISIC_1870415,70,1,165,165,0.0,0.0,0.0,0.1695,on_skin
ISIC_0624498,70,1,309,235,0.0422,0.0,0.0,0.0,on_skin
ISIC_6971606,70,1,127,183,0.972,0.0,0.0,0.0,on_lesion
ISIC_2720971,70,1,215,236,0.762,0.0,0.0,0.094,on_lesion
ISIC_2342769,70,1,212,234,0.0,0.0,0.0,0.1636,on_skin
ISIC_3025889,70,1,187,185,0.7442,0.0,0.0,0.0375,on_lesion
ISIC_8621568,70,1,251,119,1.0,0.0,0.0,0.1083,on_lesion
ISIC_4230049,70,1,159,197,1.0,0.0,0.0,0.0559,on_lesion
ISIC_5673518,70,1,226,245,0.0,0.0,0.0,0.0672,on_skin
ISIC_7914631,70,1,187,258,0.4664,0.0,0.0,0.0405,on_skin
ISIC_7295035,70,1,184,164,1.0,0.0,0.0,0.0821,on_lesion
ISIC_5797062,70,1,124,147,0.0,0.0,0.0,0.0988,on_skin
ISIC_2182856,70,1,235,207,1.0,0.0,0.0,0.3373,on_lesion
ISIC_2311665,70,1,355,136,0.3438,0.0,0.0,0.2832,on_skin
ISIC_0275828,70,1,289,265,0.0922,0.0,0.0,0.2243,on_skin
ISIC_9685931,70,1,97,290,0.0,0.0,0.0,0.0,on_skin
ISIC_7466678,70,1,147,316,0.0,0.0,0.0,0.0077,on_skin
ISIC_0952472,70,1,253,240,0.5598,0.0,0.0,0.2445,on_lesion
ISIC_1330008,70,1,130,216,1.0,0.0,0.0,0.1684,on_lesion
ISIC_6713432,70,1,210,185,1.0,0.0,0.0,0.0,on_lesion
ISIC_8450656,70,1,183,197,1.0,0.0,0.0,0.3855,on_lesion
ISIC_9754098,70,1,215,209,1.0,0.0,0.0,0.1475,on_lesion
ISIC_8281208,70,1,317,86,0.0,0.0,0.0,0.0054,on_skin
ISIC_6392461,70,1,223,76,0.4509,0.0,0.0,0.1071,on_skin
ISIC_0273046,70,1,193,202,1.0,0.0,0.0,0.0458,on_lesion
ISIC_9053910,70,1,203,167,0.0452,0.0,0.0,0.1142,on_skin
ISIC_6688417,70,1,183,157,0.0,0.0,0.0,0.0,on_skin
ISIC_7546219,70,1,341,154,1.0,0.0,0.0,0.4967,on_lesion
ISIC_4938994,70,1,223,258,0.7918,0.0,0.0,0.229,on_lesion
ISIC_5576354,70,1,251,176,1.0,0.0,0.0,0.1565,on_lesion
ISIC_3097354,70,1,247,324,0.0,0.0,0.0,0.4111,on_hair
ISIC_2979268,70,1,183,228,0.0,0.0,0.0,0.2742,on_skin
ISIC_6784593,70,1,176,225,1.0,0.0,0.0,0.1666,on_lesion
ISIC_1375476,70,1,191,192,1.0,0.0,0.0,0.3325,on_lesion
ISIC_4377208,70,1,164,204,0.9964,0.0,0.0,0.0,on_lesion
ISIC_1729223,70,1,222,210,0.0,0.0,0.0,0.2921,on_skin
ISIC_0062783,249,0,164,83,0.3415,0.0,0.0,0.0,on_skin
ISIC_0057443,249,0,280,225,1.0,0.0,0.0,0.0922,on_lesion
ISIC_0064896,249,0,227,177,1.0,0.0,0.0,0.0,on_lesion
ISIC_0064012,249,0,266,216,1.0,0.0,0.0,0.0,on_lesion
ISIC_0056869,249,0,177,199,0.0,0.0,0.0,0.3528,on_hair
ISIC_0063186,249,0,235,193,1.0,0.0,0.0,0.1933,on_lesion
ISIC_0070884,249,0,168,206,0.0,0.0,0.0,0.2552,on_skin
ISIC_0063841,249,0,112,204,0.0779,0.0,0.0,0.0226,on_skin
ISIC_0064577,249,0,216,175,0.0,0.0,0.0,0.0,on_skin
ISIC_0067760,249,0,234,184,0.0,0.0,0.0,0.229,on_skin
ISIC_0059710,249,0,239,240,0.0,0.0,0.0,0.2029,on_skin
ISIC_0056135,249,0,174,301,0.0,0.0,0.0,0.0,on_skin
ISIC_0064708,249,0,153,237,0.7002,0.0,0.0,0.2153,on_lesion
ISIC_0053466,249,0,66,255,0.1862,0.0,0.0,0.0892,on_skin
ISIC_0061537,249,0,210,254,0.0,0.0,0.0,0.0,on_skin
ISIC_0061635,249,0,92,172,0.1362,0.0,0.0,0.1112,on_skin
ISIC_0070202,249,0,261,136,0.0,0.0,0.0,0.4301,on_hair
ISIC_0060584,249,0,189,168,0.928,0.0,0.0,0.0,on_lesion
ISIC_0066235,249,0,146,279,0.0,0.0,0.0,0.0625,on_skin
ISIC_0065575,249,0,152,132,0.0,0.0,0.0,0.0,on_skin
ISIC_0072949,249,0,266,215,0.0,0.0,0.0,0.028,on_skin
ISIC_0062044,249,0,228,150,1.0,0.0,0.0,0.0761,on_lesion
ISIC_0058141,249,0,150,156,1.0,0.0,0.0,0.2326,on_lesion
ISIC_0072960,249,0,224,230,1.0,0.0,0.0,0.3474,on_lesion
ISIC_0061924,249,0,183,43,0.0,0.0,0.0,0.1404,on_skin
ISIC_0070208,249,0,156,189,0.0,0.0,0.0,0.0149,on_skin
ISIC_0059603,249,0,225,213,0.0,0.0,0.0,0.0,on_skin
ISIC_0054812,249,0,236,94,0.0,0.0,0.0,0.0684,on_skin
ISIC_0055283,249,0,169,199,0.0,0.0,0.0,0.2784,on_skin
ISIC_0058233,249,0,224,174,0.0,0.0,0.0,0.0,on_skin
ISIC_0072170,249,0,301,181,1.0,0.0,0.0,0.0,on_lesion
ISIC_0065383,249,0,194,227,1.0,0.0,0.0,0.1689,on_lesion
ISIC_0073006,249,0,126,277,1.0,0.0,0.0,0.3575,on_lesion
ISIC_0065762,249,0,161,158,0.0,0.0,0.0,0.2683,on_skin
ISIC_0071356,249,0,197,193,0.0,0.0,0.0,0.1559,on_skin
ISIC_0073031,249,0,200,192,1.0,0.0,0.0,0.0,on_lesion
ISIC_0068344,249,0,174,203,1.0,0.0,0.0,0.1338,on_lesion
ISIC_0071171,249,0,179,168,1.0,0.0,0.0,0.0779,on_lesion
ISIC_0067408,249,0,177,127,0.0,0.0,0.0,0.0,on_skin
ISIC_0058846,249,0,170,200,0.0,0.0,0.0,0.3135,on_hair
ISIC_0073150,249,0,197,260,1.0,0.0,0.0,0.2701,on_lesion
ISIC_0071919,249,0,157,282,0.0,0.0,0.0,0.0,on_skin
ISIC_0069019,249,0,217,226,0.0,0.0,0.0,0.0291,on_skin
ISIC_0073080,249,0,198,223,0.7995,0.0,0.0,0.16,on_lesion
ISIC_0060632,249,0,255,225,1.0,0.0,0.0,0.0,on_lesion
ISIC_0066383,249,0,143,220,0.1939,0.0,0.0,0.0791,on_skin
ISIC_0065274,249,0,117,212,0.0,0.0,0.0,0.0,on_skin
ISIC_0053998,249,0,131,171,1.0,0.0,0.0,0.0851,on_lesion
ISIC_0053647,249,0,167,155,1.0,0.0,0.0,0.0,on_lesion
ISIC_0065503,249,0,97,346,0.0,0.0,0.0,0.0,on_skin
ISIC_0056571,249,1,245,105,0.0,0.0,0.0,0.0,on_skin
ISIC_0068909,249,1,237,188,0.865,0.0,0.0,0.1136,on_lesion
ISIC_0057242,249,1,171,155,1.0,0.0,0.0,0.4307,on_lesion
ISIC_0061185,249,1,319,196,1.0,0.0,0.0,0.0,on_lesion
ISIC_0068276,249,1,21,156,0.0,0.0,0.0,0.0,on_skin
ISIC_0072111,249,1,287,157,1.0,0.0,0.0,0.1065,on_lesion
ISIC_0065648,249,1,212,174,0.0,0.0,0.0,0.1773,on_skin
ISIC_0054244,249,1,259,189,1.0,0.0,0.0,0.0089,on_lesion
ISIC_0071589,249,1,120,333,1.0,0.0,0.0,0.2023,on_lesion
ISIC_0068347,249,1,228,214,1.0,0.0,0.0,0.0101,on_lesion
ISIC_0062206,249,1,133,134,0.0,0.0,0.0,0.2742,on_skin
ISIC_0058651,249,1,223,155,1.0,0.0,0.0,0.0,on_lesion
ISIC_0063354,249,1,362,230,1.0,0.0,0.0,0.1553,on_lesion
ISIC_0058398,249,1,198,180,1.0,0.0,0.0,0.0,on_lesion
ISIC_0054721,249,1,181,201,0.9643,0.0,0.0,0.0637,on_lesion
ISIC_0054993,249,1,195,214,0.0,0.0,0.0,0.0,on_skin
ISIC_0059581,249,1,155,240,0.1535,0.0,0.0,0.022,on_skin
ISIC_0057542,249,1,211,187,1.0,0.0,0.0,0.0,on_lesion
ISIC_0060266,249,1,181,102,1.0,0.0,0.0,0.4783,on_lesion
ISIC_0068524,249,1,181,167,0.0,0.0,0.0,0.2546,on_skin
ISIC_0070152,249,1,93,276,1.0,0.0,0.0,0.1785,on_lesion
ISIC_0070237,249,1,276,324,1.0,0.0,0.0,0.1642,on_lesion
ISIC_0065923,249,1,231,164,0.0,0.0,0.0,0.1755,on_skin
ISIC_0053939,249,1,161,138,0.0,0.0,0.0,0.0803,on_skin
ISIC_0064625,249,1,165,195,1.0,0.0,0.0,0.514,on_lesion
ISIC_0068731,249,1,229,61,0.6966,0.0,0.0,0.0,on_lesion
ISIC_0063660,249,1,242,256,0.4372,0.0,0.0,0.0,on_skin
ISIC_0073246,249,1,226,282,0.0,0.0,0.0,0.0,on_skin
ISIC_0068231,249,1,153,190,0.0,0.0,0.0,0.4807,on_hair
ISIC_0071147,249,1,237,156,1.0,0.0,0.0,0.0,on_lesion
ISIC_0068963,249,1,186,185,1.0,0.0,0.0,0.0,on_lesion
ISIC_0055465,249,1,234,265,0.0,0.0,0.0,0.0744,on_skin
ISIC_0066940,249,1,79,189,0.2201,0.0,0.0,0.1214,on_skin
ISIC_0053719,249,1,132,208,0.0,0.0,0.0,0.1892,on_skin
ISIC_0054353,249,1,220,85,0.0,0.0,0.0,0.0476,on_skin
ISIC_0059160,249,1,242,220,0.7531,0.0,0.0,0.0446,on_lesion
ISIC_0071035,249,1,305,208,1.0,0.0,0.0,0.0,on_lesion
ISIC_0067335,249,1,255,203,0.0,0.0,0.0,0.3117,on_hair
ISIC_0059785,249,1,200,176,0.0,0.0,0.0,0.0,on_skin
ISIC_0062762,249,1,245,170,1.0,0.0,0.0,0.2504,on_lesion
ISIC_0072104,249,1,250,67,0.2897,0.0,0.0,0.3456,on_hair
ISIC_0061279,249,1,243,155,0.0,0.0,0.0,0.2945,on_skin
ISIC_0054563,249,1,213,176,1.0,0.0,0.0,0.0,on_lesion
ISIC_0059724,249,1,280,279,0.0,0.0,0.0,0.0345,on_skin
ISIC_0054970,249,1,176,207,0.0,0.0,0.0,0.3159,on_hair
ISIC_0056972,249,1,167,182,0.0,0.0,0.0,0.0107,on_skin
ISIC_0072292,249,1,274,117,0.0,0.0,0.0,0.8251,on_hair
ISIC_0063819,249,1,159,219,1.0,0.0,0.0,0.4349,on_lesion
ISIC_0072382,249,1,33,251,0.0,0.0,0.0,0.2189,on_skin
ISIC_0066761,249,1,208,193,0.0,0.0,0.0,0.0523,on_skin
