isic_id,source_collection,label,vignette_present,ruler_present,hair_present,color_cast_present,p_malig__original,p_malig__no_vignette,p_malig__no_ruler,p_malig__no_hair,p_malig__no_colorcast,p_malig__all_removed
ISIC_0026205,212,0,0,1,1,0,0.394497,0.394497,0.397155,0.458484,0.811319,0.735925
ISIC_0025070,212,0,0,0,1,0,0.141535,0.141535,0.141535,0.184269,0.787996,0.817557
ISIC_0027310,212,0,0,0,1,0,0.790757,0.790757,0.790757,0.813929,0.760984,0.781933
ISIC_0029752,212,0,0,0,1,0,0.401821,0.401821,0.401821,0.30679,0.608983,0.649062
ISIC_0025883,212,0,0,0,1,1,0.75607,0.75607,0.75607,0.844877,0.687421,0.836844
ISIC_0031422,212,0,0,0,1,0,0.611475,0.611475,0.611475,0.606819,0.664236,0.583852
ISIC_0032304,212,0,0,0,1,1,0.809425,0.809425,0.809425,0.830508,0.813402,0.836418
ISIC_0028986,212,0,0,0,0,1,0.022845,0.022845,0.022845,0.022845,0.428356,0.428356
ISIC_0031327,212,0,0,1,1,0,0.127021,0.127021,0.1211,0.144555,0.802615,0.628979
ISIC_0035508,212,0,0,1,1,0,0.237565,0.237565,0.276632,0.332002,0.766043,0.796828
ISIC_0027637,212,0,0,1,0,0,0.023448,0.023448,0.027329,0.023448,0.71367,0.718777
ISIC_0032210,212,0,0,0,1,1,0.022064,0.022064,0.022064,0.06522,0.610177,0.300066
ISIC_0030790,212,0,0,0,1,0,0.876797,0.876797,0.876797,0.591072,0.848236,0.583555
ISIC_0032089,212,0,0,0,1,0,0.209134,0.209134,0.209134,0.13874,0.715024,0.60759
ISIC_0033214,212,0,0,0,0,0,0.782553,0.782553,0.782553,0.782553,0.886854,0.886854
ISIC_0026155,212,0,0,0,1,1,0.046046,0.046046,0.046046,0.335081,0.642097,0.370992
ISIC_0026824,212,0,0,0,1,0,0.473371,0.473371,0.473371,0.458161,0.69036,0.589561
ISIC_0025142,212,0,0,0,1,0,0.04524,0.04524,0.04524,0.146757,0.559931,0.436417
ISIC_0030411,212,0,0,0,1,1,0.279142,0.279142,0.279142,0.315581,0.664898,0.64055
ISIC_0032753,212,0,0,1,1,1,0.5929,0.5929,0.651182,0.835844,0.753323,0.773353
ISIC_0035488,212,0,0,0,0,0,0.603496,0.603496,0.603496,0.603496,0.569139,0.569139
ISIC_0029733,212,0,0,0,0,0,0.627811,0.627811,0.627811,0.627811,0.673167,0.673167
ISIC_0026785,212,0,0,0,0,1,0.060052,0.060052,0.060052,0.060052,0.512116,0.512116
ISIC_0029229,212,0,0,0,1,0,0.043387,0.043387,0.043387,0.055354,0.6015,0.475176
ISIC_0029355,212,0,0,0,1,1,0.815772,0.815772,0.815772,0.774402,0.817979,0.735831
ISIC_0027918,212,0,0,0,0,0,0.143587,0.143587,0.143587,0.143587,0.755971,0.755971
ISIC_0030338,212,0,0,0,0,0,0.038674,0.038674,0.038674,0.038674,0.584656,0.584656
ISIC_0032040,212,0,0,0,1,1,0.817447,0.817447,0.817447,0.771429,0.85187,0.685219
ISIC_0031483,212,0,0,0,1,1,0.424508,0.424508,0.424508,0.470268,0.326877,0.349724
ISIC_0027226,212,0,0,0,1,0,0.829468,0.829468,0.829468,0.798016,0.795938,0.793275
ISIC_0026969,212,0,0,0,1,0,0.03762,0.03762,0.03762,0.057543,0.687116,0.654512
ISIC_0030249,212,1,0,0,0,0,0.911343,0.911343,0.911343,0.911343,0.923525,0.923525
ISIC_0028994,212,1,0,0,1,1,0.914707,0.914707,0.914707,0.945728,0.854418,0.877618
ISIC_0031041,212,1,0,0,1,1,0.958806,0.958806,0.958806,0.807517,0.958892,0.833651
ISIC_0035767,212,1,0,0,1,0,0.760092,0.760092,0.760092,0.845006,0.742394,0.844906
ISIC_0035376,212,1,0,0,1,1,0.946298,0.946298,0.946298,0.795253,0.947604,0.713545
ISIC_0028542,212,1,0,0,1,1,0.91877,0.91877,0.91877,0.790489,0.884269,0.786666
ISIC_0033366,212,1,0,0,1,1,0.804996,0.804996,0.804996,0.800748,0.773519,0.732909
ISIC_0024595,212,1,0,0,1,1,0.94289,0.94289,0.94289,0.762405,0.94187,0.635417
ISIC_0032441,212,1,0,0,1,1,0.857628,0.857628,0.857628,0.815819,0.900684,0.758636
ISIC_0034605,212,1,0,0,1,1,0.911461,0.911461,0.911461,0.864166,0.934881,0.922963
ISIC_0034888,212,1,0,0,1,0,0.904009,0.904009,0.904009,0.854306,0.912214,0.927273
ISIC_0035663,212,1,0,0,1,0,0.877492,0.877492,0.877492,0.804337,0.891283,0.745567
ISIC_0025301,212,1,0,0,1,0,0.922357,0.922357,0.922357,0.879006,0.957089,0.761933
ISIC_0032313,212,1,0,0,1,1,0.878477,0.878477,0.878477,0.893948,0.877299,0.922184
ISIC_0032841,212,1,0,0,0,0,0.819528,0.819528,0.819528,0.819528,0.839428,0.839428
ISIC_0034906,212,1,0,0,1,1,0.981705,0.981705,0.981705,0.925015,0.982799,0.869518
ISIC_0035756,212,1,0,0,1,0,0.913244,0.913244,0.913244,0.907087,0.909466,0.903209
ISIC_0035708,212,1,0,0,1,0,0.848739,0.848739,0.848739,0.878363,0.86786,0.877522
ISIC_0033619,212,1,0,0,1,1,0.837723,0.837723,0.837723,0.852296,0.7399,0.859864
ISIC_0026522,212,1,0,0,1,1,0.952652,0.952652,0.952652,0.93763,0.918724,0.86607
ISIC_0027359,212,1,0,0,0,1,0.908038,0.908038,0.908038,0.908038,0.883025,0.883025
ISIC_0027229,212,1,0,0,1,0,0.810517,0.810517,0.810517,0.85906,0.854714,0.868946
ISIC_0024799,212,1,0,0,0,1,0.87563,0.87563,0.87563,0.87563,0.931511,0.931511
ISIC_0028763,212,1,0,0,1,1,0.94493,0.94493,0.94493,0.859886,0.870848,0.721682
ISIC_0031266,212,1,0,0,1,1,0.843072,0.843072,0.843072,0.751488,0.834513,0.736479
ISIC_0029602,212,1,0,0,0,0,0.933377,0.933377,0.933377,0.933377,0.932087,0.932087
ISIC_0031489,212,1,0,0,1,0,0.895595,0.895595,0.895595,0.854359,0.899491,0.872118
ISIC_0025069,212,1,0,0,1,0,0.854992,0.854992,0.854992,0.844329,0.893993,0.872661
ISIC_0029860,212,1,0,0,1,1,0.950607,0.950607,0.950607,0.938888,0.941697,0.906319
ISIC_0028232,212,1,0,0,1,0,0.88801,0.88801,0.88801,0.710206,0.926881,0.876311
ISIC_0029669,212,1,0,0,0,0,0.951263,0.951263,0.951263,0.951263,0.783147,0.783147
ISIC_0030191,212,1,0,0,1,1,0.95587,0.95587,0.95587,0.855532,0.949438,0.823066
ISIC_0031063,212,1,0,0,1,1,0.956018,0.956018,0.956018,0.896266,0.972807,0.8523
ISIC_0024967,212,1,0,0,1,1,0.907669,0.907669,0.907669,0.947059,0.915599,0.941048
ISIC_0028685,212,1,0,0,1,0,0.946007,0.946007,0.946007,0.674149,0.960555,0.775506
ISIC_0031087,212,1,0,1,1,0,0.983438,0.983438,0.983438,0.53428,0.968758,0.598403
ISIC_0035853,212,1,0,0,1,0,0.660756,0.660756,0.660756,0.717145,0.829815,0.744111
ISIC_0032816,212,1,0,0,1,1,0.804797,0.804797,0.804797,0.86265,0.838431,0.771299
ISIC_0025265,212,1,0,0,1,0,0.878554,0.878554,0.878554,0.853538,0.881932,0.855733
ISIC_0027846,212,1,0,0,1,0,0.93081,0.93081,0.93081,0.939087,0.957892,0.947877
ISIC_0033023,212,1,0,0,1,0,0.928105,0.928105,0.928105,0.919722,0.921745,0.904303
ISIC_0030929,212,1,0,0,1,0,0.882365,0.882365,0.882365,0.814203,0.940088,0.772233
ISIC_0035130,212,1,0,0,1,0,0.785072,0.785072,0.785072,0.820152,0.805136,0.824824
ISIC_0035446,212,1,0,0,1,1,0.895654,0.895654,0.895654,0.831794,0.867149,0.839586
ISIC_0030486,212,1,0,0,1,1,0.923756,0.923756,0.923756,0.904566,0.785491,0.715462
ISIC_0027328,212,1,0,0,1,0,0.919687,0.919687,0.919687,0.734088,0.948068,0.707901
ISIC_0027004,212,1,0,0,1,1,0.839887,0.839887,0.839887,0.856625,0.885686,0.904127
ISIC_0026687,212,1,0,0,1,1,0.978633,0.978633,0.978633,0.842907,0.954372,0.834538
ISIC_0035089,212,1,0,0,0,1,0.834547,0.834547,0.834547,0.834547,0.822803,0.822803
ISIC_0034416,212,1,0,0,1,0,0.965739,0.965739,0.965739,0.969291,0.968808,0.93049
ISIC_2691267,70,0,0,0,0,0,0.567311,0.567311,0.567311,0.567311,0.560277,0.560277
ISIC_7150493,70,0,0,0,1,0,0.79578,0.79578,0.79578,0.635011,0.807071,0.680028
ISIC_1620808,70,0,0,0,0,1,0.700463,0.700463,0.700463,0.700463,0.683867,0.683867
ISIC_7056760,70,0,0,0,0,0,0.584189,0.584189,0.584189,0.584189,0.458971,0.458971
ISIC_7435292,70,0,0,0,1,1,0.810722,0.810722,0.810722,0.629345,0.842285,0.679004
ISIC_2329722,70,0,0,0,1,0,0.559669,0.559669,0.559669,0.422012,0.580962,0.433287
ISIC_0610141,70,0,0,0,1,1,0.861567,0.861567,0.861567,0.544249,0.889362,0.879833
ISIC_4848012,70,0,0,1,0,0,0.043914,0.043914,0.040079,0.043914,0.551534,0.609577
ISIC_3969181,70,0,0,0,0,0,0.793481,0.793481,0.793481,0.793481,0.651629,0.651629
ISIC_2891834,70,0,0,1,1,0,0.797984,0.797984,0.809164,0.675582,0.817902,0.780112
ISIC_7069003,70,0,0,0,1,0,0.958042,0.958042,0.958042,0.888509,0.934438,0.751727
ISIC_3700351,70,0,0,1,1,1,0.528631,0.528631,0.562852,0.582234,0.628432,0.688221
ISIC_4718313,70,0,0,0,0,1,0.495296,0.495296,0.495296,0.495296,0.576913,0.576913
ISIC_3039519,70,0,0,0,0,0,0.844637,0.844637,0.844637,0.844637,0.772007,0.772007
ISIC_2041726,70,0,0,0,0,1,0.824209,0.824209,0.824209,0.824209,0.683827,0.683827
ISIC_5380914,70,0,0,1,1,1,0.513949,0.513949,0.41803,0.277917,0.559543,0.638925
ISIC_6427761,70,0,0,0,1,0,0.652931,0.652931,0.652931,0.381548,0.709754,0.69995
ISIC_4265307,70,0,0,0,1,0,0.684807,0.684807,0.684807,0.619661,0.779711,0.807834
ISIC_0413901,70,0,0,1,1,1,0.755854,0.755854,0.781934,0.719555,0.46063,0.560248
ISIC_6155981,70,0,0,0,1,0,0.754851,0.754851,0.754851,0.630002,0.635633,0.426804
ISIC_1655600,70,0,0,0,0,0,0.748272,0.748272,0.748272,0.748272,0.709246,0.709246
ISIC_7936961,70,0,0,0,0,0,0.752449,0.752449,0.752449,0.752449,0.727523,0.727523
ISIC_9110426,70,0,0,0,1,1,0.80592,0.80592,0.80592,0.690644,0.75859,0.595721
ISIC_6773319,70,0,0,0,1,0,0.03597,0.03597,0.03597,0.036146,0.597878,0.492056
ISIC_9483439,70,0,0,1,0,0,0.637216,0.637216,0.6378,0.637216,0.62857,0.612157
ISIC_7235862,70,0,0,0,1,0,0.042289,0.042289,0.042289,0.057003,0.498531,0.367398
ISIC_9905633,70,0,0,0,0,1,0.713414,0.713414,0.713414,0.713414,0.690406,0.690406
ISIC_1307651,70,0,0,0,1,1,0.775511,0.775511,0.775511,0.318601,0.76899,0.625041
ISIC_3362526,70,0,0,0,1,1,0.248251,0.248251,0.248251,0.055706,0.762892,0.474649
ISIC_1382198,70,0,0,0,0,1,0.547816,0.547816,0.547816,0.547816,0.378815,0.378815
ISIC_3756374,70,0,0,0,0,1,0.394503,0.394503,0.394503,0.394503,0.463363,0.463363
ISIC_4962984,70,0,0,0,1,1,0.281409,0.281409,0.281409,0.077659,0.736196,0.366602
ISIC_5681315,70,0,0,1,0,0,0.597863,0.597863,0.58915,0.597863,0.849293,0.848374
ISIC_6385074,70,0,0,0,1,0,0.727384,0.727384,0.727384,0.784359,0.621661,0.580827
ISIC_0247964,70,0,0,0,1,1,0.660044,0.660044,0.660044,0.620867,0.623197,0.527894
ISIC_8302945,70,0,0,0,0,0,0.037762,0.037762,0.037762,0.037762,0.404169,0.404169
ISIC_2426893,70,0,0,1,1,0,0.063813,0.063813,0.071668,0.160783,0.643296,0.467848
ISIC_3432947,70,0,0,0,1,0,0.790575,0.790575,0.790575,0.748787,0.789537,0.660105
ISIC_7148289,70,0,0,1,1,1,0.435359,0.435359,0.473708,0.341417,0.875719,0.524092
ISIC_2784965,70,0,0,0,0,0,0.784904,0.784904,0.784904,0.784904,0.704042,0.704042
ISIC_6108555,70,0,0,0,1,0,0.8549,0.8549,0.8549,0.724315,0.748619,0.725279
ISIC_8653749,70,0,0,1,1,1,0.633207,0.633207,0.653643,0.344913,0.790517,0.584175
ISIC_1313659,70,0,0,0,0,1,0.184292,0.184292,0.184292,0.184292,0.47765,0.47765
ISIC_5290109,70,0,0,0,0,1,0.620744,0.620744,0.620744,0.620744,0.673649,0.673649
ISIC_7641395,70,0,0,1,1,1,0.797434,0.797434,0.793914,0.685793,0.770312,0.620592
ISIC_1688271,70,0,0,0,1,0,0.27106,0.27106,0.27106,0.200939,0.735325,0.42214
ISIC_0679553,70,0,0,1,1,1,0.828661,0.828661,0.796531,0.602887,0.78592,0.653058
ISIC_0855990,70,0,0,1,1,1,0.254378,0.254378,0.254378,0.099702,0.723002,0.517379
ISIC_8715507,70,0,0,0,1,1,0.673271,0.673271,0.673271,0.48039,0.782132,0.700478
ISIC_2371033,70,0,0,0,1,1,0.423326,0.423326,0.423326,0.179793,0.519731,0.397871
ISIC_8068693,70,1,0,1,1,1,0.633914,0.633914,0.629063,0.696334,0.555934,0.616491
ISIC_7074321,70,1,0,0,1,1,0.567838,0.567838,0.567838,0.472736,0.75615,0.597823
ISIC_8789051,70,1,0,0,0,0,0.957851,0.957851,0.957851,0.957851,0.966241,0.966241
ISIC_7520843,70,1,0,1,1,0,0.695728,0.695728,0.70097,0.729399,0.755699,0.803305
ISIC_7371801,70,1,0,0,0,0,0.395039,0.395039,0.395039,0.395039,0.856598,0.856598
ISIC_8011058,70,1,0,0,1,0,0.786278,0.786278,0.786278,0.845127,0.77729,0.675151
ISIC_5191344,70,1,0,1,1,0,0.792568,0.792568,0.792568,0.720091,0.798677,0.720277
ISIC_3775417,70,1,0,1,1,1,0.648387,0.648387,0.648387,0.449886,0.66488,0.544172
ISIC_5561003,70,1,0,0,1,0,0.920451,0.920451,0.920451,0.846663,0.753528,0.753238
ISIC_9910791,70,1,0,0,1,0,0.845763,0.845763,0.845763,0.762419,0.872804,0.780384
ISIC_4425322,70,1,0,0,1,1,0.685753,0.685753,0.685753,0.638779,0.79054,0.787152
ISIC_4000481,70,1,0,0,1,1,0.790407,0.790407,0.790407,0.684886,0.92649,0.901597
ISIC_7372719,70,1,0,0,1,0,0.914462,0.914462,0.914462,0.852596,0.773846,0.822727
ISIC_6927840,70,1,0,0,1,1,0.293423,0.293423,0.293423,0.508936,0.750938,0.566474
ISIC_1870415,70,1,0,1,1,1,0.390943,0.390943,0.388962,0.350863,0.53926,0.518292
ISIC_0624498,70,1,0,0,1,0,0.782661,0.782661,0.782661,0.82783,0.693963,0.67333
ISIC_6971606,70,1,0,0,0,0,0.631373,0.631373,0.631373,0.631373,0.640491,0.640491
ISIC_2720971,70,1,0,0,1,0,0.050842,0.050842,0.050842,0.059261,0.802377,0.588587
ISIC_2342769,70,1,0,1,1,0,0.920546,0.920546,0.923453,0.785991,0.896874,0.680327
ISIC_3025889,70,1,0,1,1,0,0.901607,0.901607,0.905278,0.601111,0.90512,0.776166
ISIC_8621568,70,1,0,0,1,0,0.180685,0.180685,0.180685,0.220248,0.59666,0.555022
ISIC_4230049,70,1,0,0,1,0,0.573136,0.573136,0.573136,0.511985,0.55527,0.612279
ISIC_5673518,70,1,0,0,1,0,0.199237,0.199237,0.199237,0.171434,0.821702,0.70947
ISIC_7914631,70,1,0,0,1,1,0.315808,0.315808,0.315808,0.3101,0.501454,0.459702
ISIC_7295035,70,1,0,1,1,0,0.685866,0.685866,0.685866,0.370432,0.692039,0.389033
ISIC_5797062,70,1,0,0,1,0,0.876622,0.876622,0.876622,0.781033,0.923196,0.811718
ISIC_2182856,70,1,0,1,1,1,0.654997,0.654997,0.663749,0.613381,0.627676,0.653569
ISIC_2311665,70,1,0,1,1,1,0.783322,0.783322,0.776155,0.511042,0.876958,0.701125
ISIC_0275828,70,1,0,0,1,1,0.205831,0.205831,0.205831,0.27974,0.869287,0.605808
ISIC_9685931,70,1,0,0,0,0,0.46102,0.46102,0.46102,0.46102,0.571171,0.571171
ISIC_7466678,70,1,0,0,1,0,0.802705,0.802705,0.802705,0.812248,0.834441,0.821849
ISIC_0952472,70,1,0,0,1,1,0.720974,0.720974,0.720974,0.529567,0.942279,0.828061
ISIC_1330008,70,1,0,0,1,0,0.435622,0.435622,0.435622,0.23829,0.741964,0.592021
ISIC_6713432,70,1,0,0,0,0,0.081088,0.081088,0.081088,0.081088,0.84528,0.84528
ISIC_8450656,70,1,0,0,1,0,0.229508,0.229508,0.229508,0.486027,0.586066,0.73608
ISIC_9754098,70,1,0,0,1,1,0.104148,0.104148,0.104148,0.097069,0.759852,0.446459
ISIC_8281208,70,1,0,1,1,0,0.736043,0.736043,0.750796,0.704472,0.813363,0.824021
ISIC_6392461,70,1,0,0,1,0,0.490992,0.490992,0.490992,0.28154,0.791476,0.663791
ISIC_0273046,70,1,0,0,1,0,0.087929,0.087929,0.087929,0.442212,0.814921,0.688814
ISIC_9053910,70,1,0,0,1,1,0.929135,0.929135,0.929135,0.782692,0.946873,0.83753
ISIC_6688417,70,1,0,0,0,0,0.777676,0.777676,0.777676,0.777676,0.835527,0.835527
ISIC_7546219,70,1,0,0,1,1,0.717672,0.717672,0.717672,0.801689,0.806962,0.839807
ISIC_4938994,70,1,0,0,1,0,0.764905,0.764905,0.764905,0.686672,0.784483,0.807106
ISIC_5576354,70,1,0,0,1,0,0.482717,0.482717,0.482717,0.352626,0.911548,0.76749
ISIC_3097354,70,1,0,0,1,1,0.678406,0.678406,0.678406,0.728167,0.759876,0.821544
ISIC_2979268,70,1,0,0,1,1,0.860009,0.860009,0.860009,0.747766,0.789749,0.684581
ISIC_6784593,70,1,0,0,1,0,0.75212,0.75212,0.75212,0.664094,0.795916,0.748224
ISIC_1375476,70,1,0,0,1,1,0.480148,0.480148,0.480148,0.608353,0.744473,0.734105
ISIC_4377208,70,1,0,0,0,0,0.674305,0.674305,0.674305,0.674305,0.752327,0.752327
ISIC_1729223,70,1,0,0,1,0,0.874285,0.874285,0.874285,0.793314,0.871374,0.819866
ISIC_0062783,249,0,0,1,0,1,0.666973,0.666973,0.677826,0.666973,0.738624,0.747786
ISIC_0057443,249,0,0,0,1,1,0.486104,0.486104,0.486104,0.450264,0.777245,0.714922
ISIC_0064896,249,0,0,0,0,1,0.641912,0.641912,0.641912,0.641912,0.647774,0.647774
ISIC_0064012,249,0,0,0,0,0,0.410063,0.410063,0.410063,0.410063,0.683816,0.683816
ISIC_0056869,249,0,1,0,1,1,0.489071,0.496501,0.489071,0.318238,0.649722,0.571068
ISIC_0063186,249,0,0,0,1,1,0.413886,0.413886,0.413886,0.549825,0.685503,0.654911
ISIC_0070884,249,0,1,0,1,1,0.437072,0.463721,0.437072,0.403612,0.553839,0.610581
ISIC_0063841,249,0,0,0,1,1,0.178436,0.178436,0.178436,0.237461,0.240235,0.322045
ISIC_0064577,249,0,1,0,0,1,0.423017,0.342306,0.423017,0.423017,0.473188,0.328305
ISIC_0067760,249,0,0,0,1,1,0.685299,0.685299,0.685299,0.642292,0.749069,0.740465
ISIC_0059710,249,0,0,0,1,0,0.898014,0.898014,0.898014,0.861195,0.915261,0.70734
ISIC_0056135,249,0,0,0,1,1,0.752775,0.752775,0.752775,0.75446,0.708971,0.745746
ISIC_0064708,249,0,0,0,1,1,0.830309,0.830309,0.830309,0.728267,0.887168,0.767314
ISIC_0053466,249,0,0,0,1,0,0.636902,0.636902,0.636902,0.563123,0.701677,0.660811
ISIC_0061537,249,0,0,0,0,1,0.877594,0.877594,0.877594,0.877594,0.839273,0.839273
ISIC_0061635,249,0,1,0,1,0,0.879379,0.866241,0.879379,0.62317,0.43368,0.359205
ISIC_0070202,249,0,0,0,1,1,0.584953,0.584953,0.584953,0.241733,0.748701,0.378566
ISIC_0060584,249,0,0,0,0,0,0.830703,0.830703,0.830703,0.830703,0.852005,0.852005
ISIC_0066235,249,0,0,0,1,0,0.30103,0.30103,0.30103,0.483376,0.748035,0.775924
ISIC_0065575,249,0,1,0,0,1,0.362549,0.352183,0.362549,0.362549,0.604149,0.485425
ISIC_0072949,249,0,0,0,1,1,0.592645,0.592645,0.592645,0.269939,0.773822,0.483427
ISIC_0062044,249,0,0,0,1,0,0.341086,0.341086,0.341086,0.271832,0.93089,0.83412
ISIC_0058141,249,0,0,1,1,1,0.747182,0.747182,0.739426,0.738935,0.791861,0.845003
ISIC_0072960,249,0,0,0,1,0,0.668958,0.668958,0.668958,0.621013,0.751184,0.687269
ISIC_0061924,249,0,0,0,1,0,0.764637,0.764637,0.764637,0.661832,0.746225,0.692989
ISIC_0070208,249,0,0,0,1,1,0.493299,0.493299,0.493299,0.276947,0.636484,0.416495
ISIC_0059603,249,0,1,0,0,1,0.475192,0.430595,0.475192,0.475192,0.460723,0.433727
ISIC_0054812,249,0,0,0,1,0,0.776398,0.776398,0.776398,0.630346,0.801477,0.622009
ISIC_0055283,249,0,0,0,1,1,0.579328,0.579328,0.579328,0.550123,0.748055,0.887744
ISIC_0058233,249,0,1,0,0,1,0.070796,0.192997,0.070796,0.070796,0.613872,0.638605
ISIC_0072170,249,0,0,0,0,1,0.568789,0.568789,0.568789,0.568789,0.845211,0.845211
ISIC_0065383,249,0,0,0,1,0,0.683606,0.683606,0.683606,0.65703,0.839247,0.773426
ISIC_0073006,249,0,0,0,1,1,0.615926,0.615926,0.615926,0.27584,0.746939,0.474429
ISIC_0065762,249,0,1,0,1,1,0.826336,0.804139,0.826336,0.736735,0.615551,0.256254
ISIC_0071356,249,0,0,0,1,1,0.532715,0.532715,0.532715,0.353243,0.676731,0.590649
ISIC_0073031,249,0,0,0,0,1,0.775577,0.775577,0.775577,0.775577,0.785012,0.785012
ISIC_0068344,249,0,0,0,1,1,0.656601,0.656601,0.656601,0.531913,0.823107,0.686616
ISIC_0071171,249,0,0,0,1,0,0.280296,0.280296,0.280296,0.201856,0.734762,0.496859
ISIC_0067408,249,0,1,0,0,1,0.721722,0.755369,0.721722,0.721722,0.804205,0.769521
ISIC_0058846,249,0,0,1,1,1,0.576105,0.576105,0.568451,0.551406,0.564189,0.607222
ISIC_0073150,249,0,0,0,1,1,0.577047,0.577047,0.577047,0.523152,0.770221,0.713324
ISIC_0071919,249,0,0,0,0,1,0.831421,0.831421,0.831421,0.831421,0.893794,0.893794
ISIC_0069019,249,0,0,0,1,1,0.604129,0.604129,0.604129,0.408328,0.766332,0.646725
ISIC_0073080,249,0,0,0,1,1,0.39859,0.39859,0.39859,0.306599,0.750967,0.669315
ISIC_0060632,249,0,0,0,0,0,0.41025,0.41025,0.41025,0.41025,0.715008,0.715008
ISIC_0066383,249,0,0,0,1,1,0.437062,0.437062,0.437062,0.373226,0.741481,0.601484
ISIC_0065274,249,0,0,0,0,1,0.419604,0.419604,0.419604,0.419604,0.717334,0.717334
ISIC_0053998,249,0,0,0,1,0,0.423027,0.423027,0.423027,0.525829,0.628217,0.630423
ISIC_0053647,249,0,0,0,0,1,0.726177,0.726177,0.726177,0.726177,0.806585,0.806585
ISIC_0065503,249,0,0,0,0,1,0.710503,0.710503,0.710503,0.710503,0.674826,0.674826
ISIC_0056571,249,1,0,0,0,1,0.797683,0.797683,0.797683,0.797683,0.768021,0.768021
ISIC_0068909,249,1,0,0,1,0,0.902978,0.902978,0.902978,0.793322,0.96506,0.952356
ISIC_0057242,249,1,0,0,1,1,0.793283,0.793283,0.793283,0.704446,0.716932,0.610652
ISIC_0061185,249,1,0,0,0,0,0.708642,0.708642,0.708642,0.708642,0.827636,0.827636
ISIC_0068276,249,1,0,0,0,0,0.605395,0.605395,0.605395,0.605395,0.721985,0.721985
ISIC_0072111,249,1,0,0,1,1,0.814006,0.814006,0.814006,0.790444,0.844091,0.802606
ISIC_0065648,249,1,0,1,1,1,0.939403,0.939403,0.933308,0.727723,0.910818,0.745112
ISIC_0054244,249,1,0,0,1,1,0.405747,0.405747,0.405747,0.383756,0.522177,0.516726
ISIC_0071589,249,1,0,0,1,0,0.900713,0.900713,0.900713,0.804198,0.876196,0.709587
ISIC_0068347,249,1,0,0,1,0,0.888291,0.888291,0.888291,0.856767,0.881342,0.851251
ISIC_0062206,249,1,1,0,1,1,0.636618,0.68175,0.636618,0.695924,0.496504,0.57877
ISIC_0058651,249,1,0,0,0,1,0.783087,0.783087,0.783087,0.783087,0.908175,0.908175
ISIC_0063354,249,1,0,0,1,1,0.939091,0.939091,0.939091,0.9232,0.949025,0.91654
ISIC_0058398,249,1,0,0,0,1,0.804347,0.804347,0.804347,0.804347,0.86465,0.86465
ISIC_0054721,249,1,0,0,1,1,0.515167,0.515167,0.515167,0.139186,0.740298,0.396269
ISIC_0054993,249,1,0,0,0,0,0.695319,0.695319,0.695319,0.695319,0.69589,0.69589
ISIC_0059581,249,1,0,0,1,0,0.877694,0.877694,0.877694,0.865332,0.895585,0.895107
ISIC_0057542,249,1,0,0,0,1,0.350699,0.350699,0.350699,0.350699,0.806044,0.806044
ISIC_0060266,249,1,0,0,1,1,0.883614,0.883614,0.883614,0.879421,0.826887,0.836588
ISIC_0068524,249,1,1,0,1,1,0.724905,0.774607,0.724905,0.320992,0.327664,0.327165
